id,term,instructors
5880452,20S,"[""TA"",""Rensel, M.A.""]"
5888567,20S,"[""No instructors""]"
5885830,20S,"[""Diggavi, S.N.""]"
5888569,20S,"[""No instructors""]"
5883417,20S,"[""Schmidt, J.J.""]"
5884305,20S,"[""Sena, R.E.""]"
5883652,20S,"[""Riley, A.R.""]"
5882891,20S,"[""Zhang, J.""]"
5888500,20S,"[""No instructors""]"
5887183,20S,"[""Gomez, L.E.""]"
5879281,20S,"[""Mcevoy, M.M."",""Kelty, C.M.""]"
5883170,20S,"[""Hopkins, J.""]"
5887212,20S,"[""Huhtamo, E.I.""]"
5881425,20S,"[""Honda, K.""]"
5885877,20S,"[""Comanor, W.S.""]"
10585576,20S,"[""Bargheer, S.""]"
5886462,20S,"[""Nimmer, D.""]"
5880933,20S,"[""Hsu, A.""]"
5883893,20S,"[""Sigmon, J.P.""]"
5882423,20S,"[""No instructors""]"
5882841,20S,"[""Reiher, P.L.""]"
5881465,20S,"[""Xu, H.""]"
5880723,20S,"[""Fiske, A.P.""]"
5881941,20S,"[""Lysy, A.""]"
5885114,20S,"[""Moreland, J.E.""]"
5886203,20S,"[""Hasson, T.W."",""Razinia, Z.""]"
5879302,20S,"[""Blumenberg, E.A.""]"
5880278,20S,"[""Gu, Q.""]"
5885810,20S,"[""Ozcan, A.""]"
5881439,20S,"[""Turner, P.A.""]"
5884023,20S,"[""Rubinson, G.J."",""Browne, D.G.""]"
5882758,20S,"[""Pellegrini, M.""]"
5888499,20S,"[""Wasson, J.T.""]"
5887070,20S,"[""Levy-Storms, L.F.""]"
5884379,20S,"[""Drucker, J.R.""]"
5888018,20S,"[""Levine, A.J.""]"
5879178,20S,"[""Scorza, D.J.""]"
5882894,20S,"[""Sidhu, M.K.""]"
5887121,20S,"[""Johnson, K.""]"
5885998,20S,"[""Narro, V.H.""]"
5884180,20S,"[""Dao, C."",""Ni, N."",""Hauser, J."",""Arisaka, K.""]"
5888497,20S,"[""Macdonald, G.M.""]"
5884318,20S,"[""Monkkonen, P.""]"
5880932,20S,"[""Galateanu, G.""]"
5881108,20S,"[""Garcia-Garibay, M.""]"
5883212,20S,"[""Iwasaki, T.""]"
5882967,20S,"[""Mosher, C.M."",""TA""]"
5882821,20S,"[""Sagasti, A.""]"
5878925,20S,"[""Morony, M.G.""]"
5886365,20S,"[""Ahmadi, R.H.""]"
5879164,20S,"[""Mott, C.M."",""Lu, L.""]"
5878971,20S,"[""Kodambaka, S."",""Wei, C.""]"
5881354,20S,"[""Bernstein, J.B.""]"
5880637,20S,"[""Juliano, L.M.""]"
5879971,20S,"[""White, S.A.""]"
5885806,20S,"[""Roy, A.""]"
5885647,20S,"[""Lynch, C.""]"
5884111,20S,"[""Stone, K.""]"
5879162,20S,"[""Wenten, I.N.""]"
5883234,20S,"[""Day, M.D.""]"
